minuto;2,6min;2,10min;2,15min;2,20min;2,25min;2,30min;2,1h;2,2h;2,3h;2,4h;2,6h;2,8h;2,10h;2,12h;2,18h;2,24h;5,6min;5,10min;5,15min;5,20min;5,25min;5,30min;5,1h;5,2h;5,3h;5,4h;5,6h;5,8h;5,10h;5,12h;5,18h;5,24h;10,6min;10,10min;10,15min;10,20min;10,25min;10,30min;10,1h;10,2h;10,3h;10,4h;10,6h;10,8h;10,10h;10,12h;10,18h;10,24h;20,6min;20,10min;20,15min;20,20min;20,25min;20,30min;20,1h;20,2h;20,3h;20,4h;20,6h;20,8h;20,10h;20,12h;20,18h;20,24h;25,6min;25,10min;25,15min;25,20min;25,25min;25,30min;25,1h;25,2h;25,3h;25,4h;25,6h;25,8h;25,10h;25,12h;25,18h;25,24h;50,6min;50,10min;50,15min;50,20min;50,25min;50,30min;50,1h;50,2h;50,3h;50,4h;50,6h;50,8h;50,10h;50,12h;50,18h;50,24h;100,6min;100,10min;100,15min;100,20min;100,25min;100,30min;100,1h;100,2h;100,3h;100,4h;100,6h;100,8h;100,10h;100,12h;100,18h;100,24h;200,6min;200,10min;200,15min;200,20min;200,25min;200,30min;200,1h;200,2h;200,3h;200,4h;200,6h;200,8h;200,10h;200,12h;200,18h;200,24h;500,6min;500,10min;500,15min;500,20min;500,25min;500,30min;500,1h;500,2h;500,3h;500,4h;500,6h;500,8h;500,10h;500,12h;500,18h;500,24h;1000,6min;1000,10min;1000,15min;1000,20min;1000,25min;1000,30min;1000,1h;1000,2h;1000,3h;1000,4h;1000,6h;1000,8h;1000,10h;1000,12h;1000,18h;1000,24h;10000,6min;10000,10min;10000,15min;10000,20min;10000,25min;10000,30min;10000,1h;10000,2h;10000,3h;10000,4h;10000,6h;10000,8h;10000,10h;10000,12h;10000,18h;10000,24h
1;1.3316;1.4796;1.3032;1.0648;0.8655;0.7129;0.3058;0.1362;0.0895;0.0692;0.0515;0.0158;0.0127;0.0106;0.0073;0.0058;1.9974;2.2092;1.9422;1.5856;1.2881;1.0606;0.4545;0.2031;0.1337;0.1034;0.077;0.0236;0.0191;0.0159;0.011;0.0086;3.329;3.6653;3.2165;2.6236;2.1303;1.7534;0.7506;0.3367;0.2219;0.1718;0.1281;0.0393;0.0318;0.0265;0.0183;0.0144;12.2974;13.478;11.8061;9.6211;7.808;6.4242;2.7473;1.2368;0.8163;0.6327;0.4721;0.1448;0.1171;0.0978;0.0675;0.0532;12.7235;13.9131;12.1759;9.918;8.0468;6.6194;2.8293;1.2761;0.8428;0.6535;0.4879;0.1497;0.1211;0.1012;0.0698;0.055;14.0018;15.2407;13.3129;10.8344;8.7855;7.2243;3.0846;1.3963;0.9237;0.7168;0.5356;0.1645;0.1331;0.1112;0.0768;0.0605;13.5764;15.3587;13.6228;11.1679;9.0962;7.5026;3.2305;1.4864;0.9896;0.7708;0.5785;0.1781;0.1444;0.1208;0.0836;0.066;14.6891;16.7802;14.9395;12.2689;10.0035;8.2569;3.5624;1.6266;1.0797;0.8395;0.6288;0.1934;0.1566;0.131;0.0905;0.0714;16.1686;18.3469;16.2924;13.3638;10.8883;8.9828;3.8703;1.7765;1.1816;0.9199;0.6899;0.2123;0.1721;0.144;0.0996;0.0786;20.7138;23.4331;20.7846;17.0391;13.8782;11.4468;4.9288;2.2679;1.5099;1.176;0.8826;0.2717;0.2203;0.1843;0.1275;0.1007;21.1163;23.5011;20.7122;16.9285;13.7628;11.3375;4.8649;2.2682;1.5178;1.1857;0.8929;0.2755;0.2236;0.1873;0.1299;0.1027
2;0.6652;0.8499;1.0174;1.1355;1.1438;1.0843;0.6031;0.2531;0.144;0.0962;0.0551;0.0189;0.0155;0.0132;0.0075;0.0059;0.9977;1.2691;1.5163;1.6909;1.7023;1.6132;0.8963;0.3775;0.2151;0.1438;0.0824;0.0283;0.0232;0.0198;0.0113;0.0088;1.6629;2.1055;2.5112;2.7979;2.8152;2.6669;1.4803;0.6257;0.357;0.2389;0.1371;0.0471;0.0387;0.033;0.0188;0.0147;6.1427;7.7423;9.217;10.2603;10.3184;9.7711;5.418;2.2983;1.3133;0.8797;0.5052;0.1736;0.1427;0.1217;0.0692;0.0542;6.3555;7.9922;9.5057;10.577;10.634;10.0681;5.5798;2.3713;1.356;0.9087;0.5221;0.1794;0.1476;0.1258;0.0716;0.0561;6.9941;8.7548;10.3934;11.5543;11.6101;10.9882;6.0832;2.5948;1.486;0.9967;0.5732;0.1971;0.1622;0.1384;0.0788;0.0617;6.7816;8.8226;10.6353;11.91;12.0207;11.4114;6.3709;2.7622;1.5921;1.0718;0.6191;0.2135;0.1759;0.1503;0.0858;0.0673;7.3374;9.6392;11.6632;13.0841;13.2197;12.5588;7.0255;3.0227;1.737;1.1674;0.6729;0.2317;0.1908;0.1629;0.0929;0.0729;8.0764;10.5391;12.7194;14.2517;14.389;13.6628;7.6327;3.3013;1.901;1.2791;0.7384;0.2545;0.2097;0.1791;0.1022;0.0802;10.3468;13.4608;16.2265;18.1713;18.3402;17.4106;9.7203;4.2143;2.4291;1.6353;0.9446;0.3257;0.2684;0.2293;0.1309;0.1028;10.5478;13.4999;16.17;18.0532;18.1877;17.2442;9.5941;4.215;2.4419;1.6487;0.9556;0.3301;0.2725;0.233;0.1333;0.1048
3;0.355;0.6229;0.6727;0.6921;0.7624;0.8247;0.7087;0.3519;0.2046;0.1361;0.0759;0.0201;0.0164;0.0139;0.0077;0.006;0.5325;0.9301;1.0026;1.0306;1.1347;1.227;1.0534;0.5248;0.3057;0.2034;0.1136;0.03;0.0245;0.0208;0.0115;0.009;0.8874;1.5432;1.6605;1.7052;1.8765;2.0284;1.7396;0.8699;0.5073;0.3379;0.189;0.05;0.0408;0.0346;0.0192;0.015;3.2782;5.6744;6.0946;6.2534;6.8779;7.4318;6.3672;3.1953;1.8663;1.2442;0.6964;0.1844;0.1505;0.1276;0.071;0.0553;3.3918;5.8576;6.2855;6.4465;7.0883;7.6577;6.5573;3.2967;1.927;1.2852;0.7197;0.1906;0.1556;0.132;0.0734;0.0572;3.7326;6.4166;6.8725;7.0421;7.739;8.3575;7.149;3.6075;2.1117;1.4097;0.7902;0.2094;0.1711;0.1451;0.0808;0.0629;3.6192;6.4663;7.0325;7.2589;8.0126;8.6794;7.4871;3.8402;2.2625;1.5159;0.8534;0.2267;0.1856;0.1576;0.088;0.0687;3.9158;7.0647;7.7121;7.9745;8.8119;9.552;8.2563;4.2024;2.4684;1.651;0.9276;0.2461;0.2013;0.1708;0.0953;0.0743;4.3102;7.7243;8.4105;8.6861;9.5913;10.3917;8.9699;4.5897;2.7015;1.8091;1.0178;0.2703;0.2212;0.1878;0.1048;0.0818;5.5218;9.8657;10.7296;11.075;12.225;13.2423;11.4233;5.8591;3.4519;2.3128;1.302;0.3459;0.2831;0.2404;0.1342;0.1047;5.6291;9.8943;10.6922;11.0031;12.1234;13.1157;11.2751;5.8601;3.4701;2.3318;1.3172;0.3506;0.2874;0.2443;0.1367;0.1068
4;0.1988;0.431;0.5649;0.5719;0.5572;0.5784;0.6737;0.4159;0.2541;0.1713;0.0955;0.021;0.0171;0.0144;0.0079;0.0061;0.2982;0.6436;0.842;0.8516;0.8293;0.8605;1.0012;0.6203;0.3796;0.2561;0.1429;0.0315;0.0256;0.0216;0.0118;0.0091;0.497;1.0677;1.3944;1.409;1.3714;1.4225;1.6535;1.028;0.63;0.4254;0.2377;0.0524;0.0426;0.036;0.0197;0.0152;1.8361;3.9262;5.118;5.1672;5.0265;5.2118;6.0521;3.7764;2.3175;1.5663;0.8759;0.1933;0.1572;0.1328;0.0727;0.0563;1.8997;4.053;5.2783;5.3267;5.1803;5.3703;6.2328;3.8962;2.3928;1.6178;0.9052;0.1999;0.1626;0.1374;0.0752;0.0582;2.0906;4.4397;5.7712;5.8188;5.6558;5.861;6.7952;4.2635;2.6222;1.7745;0.9938;0.2196;0.1787;0.151;0.0827;0.0641;2.027;4.4741;5.9055;5.9979;5.8558;6.0867;7.1166;4.5386;2.8094;1.9082;1.0733;0.2378;0.1938;0.164;0.0901;0.0699;2.1932;4.8882;6.4763;6.5892;6.4399;6.6987;7.8477;4.9666;3.0651;2.0783;1.1666;0.2581;0.2103;0.1778;0.0975;0.0757;2.4141;5.3446;7.0628;7.1773;7.0095;7.2876;8.526;5.4243;3.3545;2.2772;1.2801;0.2835;0.231;0.1955;0.1073;0.0833;3.0927;6.8262;9.0102;9.1512;8.9343;9.2867;10.8579;6.9246;4.2864;2.9114;1.6376;0.3628;0.2957;0.2502;0.1374;0.1067;3.1528;6.846;8.9788;9.0917;8.86;9.1979;10.717;6.9257;4.309;2.9353;1.6567;0.3677;0.3002;0.2543;0.1399;0.1088
5;0.1799;0.2853;0.4443;0.5044;0.5007;0.4809;0.5768;0.448;0.2918;0.2013;0.1136;0.0219;0.0177;0.0149;0.0081;0.0062;0.2698;0.4259;0.6622;0.7511;0.7452;0.7154;0.8573;0.6682;0.4359;0.301;0.17;0.0327;0.0266;0.0224;0.0121;0.0093;0.4496;0.7067;1.0967;1.2428;1.2323;1.1827;1.4159;1.1075;0.7235;0.5;0.2827;0.0545;0.0442;0.0372;0.0201;0.0155;1.661;2.5986;4.0253;4.5577;4.5168;4.3332;5.1823;4.0683;2.6615;1.8409;1.0417;0.2009;0.1631;0.1374;0.0743;0.0573;1.7185;2.6825;4.1514;4.6984;4.6549;4.4649;5.337;4.1974;2.7479;1.9016;1.0765;0.2077;0.1686;0.1421;0.0769;0.0593;1.8912;2.9384;4.5391;5.1325;5.0822;4.8729;5.8186;4.5931;3.0114;2.0857;1.1819;0.2281;0.1853;0.1562;0.0846;0.0652;1.8337;2.9612;4.6447;5.2905;5.2619;5.0606;6.0938;4.8894;3.2264;2.2428;1.2765;0.247;0.201;0.1697;0.0921;0.0712;1.984;3.2353;5.0936;5.8121;5.7868;5.5694;6.7198;5.3505;3.5201;2.4428;1.3875;0.2682;0.218;0.184;0.0997;0.077;2.1838;3.5373;5.5549;6.3308;6.2986;6.059;7.3006;5.8436;3.8524;2.6766;1.5225;0.2945;0.2396;0.2022;0.1097;0.0848;2.7977;4.5179;7.0866;8.0719;8.0282;7.721;9.2974;7.4599;4.9226;3.4219;1.9476;0.3769;0.3067;0.2589;0.1405;0.1086;2.8521;4.531;7.0619;8.0194;7.9615;7.6472;9.1768;7.4611;4.9486;3.4501;1.9703;0.3821;0.3113;0.2631;0.1431;0.1107
6;0.1424;0.195;0.345;0.422;0.4535;0.4469;0.4746;0.4542;0.3181;0.226;0.13;0.0226;0.0183;0.0154;0.0082;0.0063;0.2136;0.2912;0.5142;0.6283;0.6749;0.6649;0.7054;0.6775;0.4752;0.3379;0.1946;0.0338;0.0274;0.023;0.0123;0.0095;0.356;0.4832;0.8516;1.0397;1.1162;1.0992;1.1649;1.1229;0.7888;0.5613;0.3236;0.0562;0.0456;0.0383;0.0206;0.0158;1.3151;1.7767;3.1256;3.8126;4.091;4.0273;4.2637;4.1248;2.9016;2.0665;1.1926;0.2073;0.1681;0.1415;0.0759;0.0583;1.3606;1.8341;3.2235;3.9303;4.2162;4.1497;4.391;4.2557;2.9959;2.1345;1.2325;0.2143;0.1738;0.1464;0.0785;0.0603;1.4973;2.0091;3.5245;4.2935;4.6032;4.5289;4.7872;4.6569;3.2831;2.3412;1.3531;0.2355;0.191;0.1609;0.0864;0.0664;1.4518;2.0247;3.6065;4.4256;4.766;4.7033;5.0136;4.9573;3.5175;2.5176;1.4614;0.255;0.2072;0.1748;0.0941;0.0724;1.5708;2.212;3.9551;4.8619;5.2414;5.1762;5.5287;5.4249;3.8377;2.7421;1.5885;0.2768;0.2248;0.1895;0.1019;0.0783;1.729;2.4186;4.3133;5.2958;5.705;5.6313;6.0065;5.9248;4.2;3.0045;1.743;0.304;0.247;0.2083;0.1121;0.0862;2.2151;3.0891;5.5025;6.7523;7.2715;7.176;7.6493;7.5635;5.3667;3.8412;2.2297;0.389;0.3162;0.2666;0.1435;0.1104;2.2581;3.098;5.4834;6.7084;7.2111;7.1074;7.5501;7.5648;5.3951;3.8728;2.2557;0.3943;0.3209;0.2709;0.1461;0.1126
7;0.0;0.1755;0.2602;0.3518;0.3942;0.4117;0.3945;0.4414;0.3341;0.2454;0.1448;0.0232;0.0188;0.0158;0.0084;0.0064;0.0;0.262;0.3878;0.5239;0.5867;0.6125;0.5864;0.6584;0.499;0.3668;0.2167;0.0347;0.0281;0.0236;0.0126;0.0096;0.0;0.4347;0.6423;0.8669;0.9703;1.0126;0.9684;1.0912;0.8283;0.6094;0.3603;0.0577;0.0468;0.0393;0.021;0.016;0.0;1.5985;2.3574;3.179;3.5563;3.7102;3.5444;4.0084;3.047;2.2435;1.3277;0.2129;0.1726;0.1452;0.0774;0.0592;0.0;1.6501;2.4312;3.2772;3.6651;3.8229;3.6502;4.1356;3.146;2.3174;1.3721;0.2201;0.1784;0.1501;0.0801;0.0613;0.0;1.8076;2.6582;3.58;4.0015;4.1723;3.9796;4.5255;3.4476;2.5418;1.5065;0.2418;0.1961;0.165;0.0881;0.0674;0.0;1.8216;2.7201;3.6902;4.143;4.333;4.1678;4.8174;3.6937;2.7334;1.627;0.2618;0.2127;0.1793;0.096;0.0736;0.0;1.9901;2.983;4.054;4.5563;4.7686;4.596;5.2718;4.0299;2.977;1.7685;0.2843;0.2308;0.1943;0.1039;0.0796;0.0;2.176;3.2531;4.4157;4.9593;5.1878;4.9932;5.7576;4.4104;3.262;1.9405;0.3122;0.2535;0.2136;0.1143;0.0876;0.0;2.7792;4.1501;5.6302;6.3211;6.6109;6.3589;7.35;5.6356;4.1703;2.4824;0.3995;0.3246;0.2735;0.1464;0.1122;0.0;2.7872;4.1357;5.5936;6.2685;6.5477;6.2764;7.3513;5.6654;4.2046;2.5113;0.4049;0.3294;0.2779;0.1491;0.1144
8;0.0;0.1681;0.1998;0.2891;0.3405;0.3674;0.3428;0.4162;0.341;0.2597;0.1578;0.0237;0.0192;0.0161;0.0086;0.0065;0.0;0.251;0.2978;0.4306;0.5068;0.5466;0.5095;0.6207;0.5093;0.3882;0.2361;0.0355;0.0287;0.0242;0.0128;0.0098;0.0;0.4165;0.4932;0.7124;0.8381;0.9036;0.8415;1.0288;0.8454;0.6449;0.3925;0.0591;0.0479;0.0402;0.0214;0.0163;0.0;1.5314;1.8101;2.6125;3.0717;3.3106;3.08;3.7792;3.1099;2.3744;1.4467;0.2179;0.1765;0.1484;0.0789;0.0602;0.0;1.5808;1.8668;2.6932;3.1656;3.4112;3.1719;3.8992;3.211;2.4526;1.4951;0.2252;0.1825;0.1535;0.0817;0.0623;0.0;1.7317;2.0411;2.942;3.4562;3.7229;3.4581;4.2667;3.5188;2.6901;1.6415;0.2474;0.2006;0.1688;0.0898;0.0685;0.0;1.7451;2.0886;3.0326;3.5784;3.8663;3.6217;4.542;3.77;2.8928;1.7729;0.2679;0.2176;0.1833;0.0978;0.0747;0.0;1.9066;2.2905;3.3315;3.9354;4.2551;3.9938;4.9704;4.1132;3.1507;1.927;0.2909;0.236;0.1987;0.1059;0.0809;0.0;2.0846;2.4979;3.6289;4.2835;4.6291;4.3389;5.4284;4.5016;3.4522;2.1144;0.3194;0.2594;0.2185;0.1165;0.089;0.0;2.6625;3.1866;4.6269;5.4597;5.8989;5.5257;6.9298;5.752;4.4136;2.7049;0.4088;0.332;0.2797;0.1493;0.114;0.0;2.6703;3.1755;4.5968;5.4143;5.8425;5.454;6.931;5.7824;4.4499;2.7364;0.4144;0.337;0.2842;0.152;0.1162
9;0.0;0.1421;0.1572;0.2334;0.2942;0.3248;0.314;0.3842;0.3404;0.2693;0.169;0.0242;0.0196;0.0164;0.0087;0.0066;0.0;0.2122;0.2342;0.3476;0.4378;0.4832;0.4667;0.5731;0.5084;0.4026;0.2529;0.0362;0.0293;0.0246;0.0131;0.0099;0.0;0.352;0.3879;0.5751;0.724;0.7988;0.7708;0.9499;0.8439;0.6689;0.4205;0.0603;0.0488;0.041;0.0218;0.0165;0.0;1.2944;1.4238;2.109;2.6536;2.9266;2.8214;3.4892;3.1043;2.4626;1.5496;0.2224;0.1801;0.1514;0.0804;0.0611;0.0;1.3362;1.4684;2.1741;2.7347;3.0156;2.9056;3.5999;3.2052;2.5437;1.6014;0.2299;0.1862;0.1566;0.0831;0.0632;0.0;1.4637;1.6056;2.375;2.9858;3.2912;3.1678;3.9393;3.5125;2.79;1.7582;0.2525;0.2047;0.1721;0.0915;0.0695;0.0;1.475;1.6429;2.4481;3.0914;3.4179;3.3176;4.1934;3.7633;3.0002;1.8989;0.2734;0.222;0.187;0.0996;0.0759;0.0;1.6116;1.8017;2.6894;3.3997;3.7616;3.6585;4.5889;4.1058;3.2677;2.064;0.2969;0.2408;0.2027;0.1079;0.0821;0.0;1.762;1.9649;2.9294;3.7004;4.0923;3.9746;5.0118;4.4935;3.5804;2.2647;0.326;0.2646;0.2228;0.1187;0.0903;0.0;2.2505;2.5067;3.7351;4.7165;5.2148;5.0618;6.398;5.7417;4.5775;2.8972;0.4172;0.3387;0.2853;0.152;0.1157;0.0;2.257;2.4979;3.7108;4.6773;5.165;4.9961;6.399;5.7721;4.6152;2.9309;0.4229;0.3438;0.2899;0.1547;0.118
10;0.0;0.1321;0.1479;0.1908;0.2503;0.288;0.299;0.3501;0.3338;0.2748;0.1785;0.0247;0.0199;0.0167;0.0089;0.0067;0.0;0.1973;0.2204;0.2841;0.3725;0.4285;0.4444;0.5222;0.4986;0.4108;0.2671;0.0369;0.0299;0.0251;0.0133;0.0101;0.0;0.3273;0.3651;0.4702;0.616;0.7083;0.7339;0.8655;0.8276;0.6824;0.4441;0.0614;0.0497;0.0418;0.0221;0.0168;0.0;1.2037;1.34;1.7242;2.2578;2.5952;2.6862;3.1792;3.0444;2.5124;1.6366;0.2265;0.1833;0.1541;0.0818;0.062;0.0;1.2425;1.382;1.7774;2.3268;2.6741;2.7664;3.2801;3.1434;2.5951;1.6913;0.2342;0.1896;0.1594;0.0846;0.0641;0.0;1.3611;1.511;1.9416;2.5404;2.9184;3.016;3.5893;3.4447;2.8463;1.857;0.2573;0.2083;0.1752;0.0931;0.0706;0.0;1.3716;1.5462;2.0014;2.6303;3.0308;3.1586;3.8209;3.6907;3.0609;2.0056;0.2786;0.226;0.1903;0.1013;0.077;0.0;1.4986;1.6956;2.1987;2.8926;3.3356;3.4831;4.1812;4.0266;3.3337;2.18;0.3024;0.2452;0.2063;0.1097;0.0833;0.0;1.6385;1.8492;2.3949;3.1485;3.6288;3.7842;4.5666;4.4068;3.6528;2.3919;0.3321;0.2694;0.2268;0.1207;0.0917;0.0;2.0927;2.359;3.0535;4.013;4.6242;4.8192;5.8296;5.6309;4.67;3.0599;0.425;0.3448;0.2904;0.1546;0.1174;0.0;2.0988;2.3508;3.0337;3.9797;4.58;4.7567;5.8306;5.6607;4.7084;3.0956;0.4308;0.35;0.295;0.1574;0.1197
