isozona,tempo_retorno,duracao,precipitacao
A,2,1_dia,20.0
A,5,1_dia,30.0
A,10,1_dia,50.0
A,20,1_dia,184.7375642517273
A,25,1_dia,191.05029897904
A,50,1_dia,210.3433914228272
A,100,1_dia,229.3526554210083
A,200,1_dia,248.2494045729847
A,500,1_dia,273.24567694338367
A,1000,1_dia,350.0
A,10000,1_dia,356.79981587166145
B,2,1_dia,109.591849072735
B,5,1_dia,143.14137140023556
B,10,1_dia,164.6086068007445
B,20,1_dia,184.7375642517273
B,25,1_dia,191.05029897904
B,50,1_dia,210.3433914228272
B,100,1_dia,229.3526554210083
B,200,1_dia,248.2494045729847
B,500,1_dia,273.24567694338367
B,1000,1_dia,292.2656193785178
B,10000,1_dia,356.79981587166145
C,2,1_dia,85.28422
C,5,1_dia,110.51721
C,10,1_dia,127.22365
C,20,1_dia,143.24886
C,25,1_dia,148.33227
C,50,1_dia,163.99186
C,100,1_dia,179.53582
C,200,1_dia,195.02306
C,500,1_dia,215.45553
C,1000,1_dia,230.89791
C,10000,1_dia,282.16938
D,2,1_dia,0.0
D,5,1_dia,0.0
D,10,1_dia,0.0
D,20,1_dia,0.0
D,25,1_dia,0.0
D,50,1_dia,0.0
D,100,1_dia,0.0
D,200,1_dia,0.0
D,500,1_dia,0.0
D,1000,1_dia,280.0
D,10000,1_dia,320.0
E,2,1_dia,3.0
E,5,1_dia,4.0
E,10,1_dia,5.0
E,20,1_dia,6.0
E,25,1_dia,7.0
E,50,1_dia,8.0
E,100,1_dia,9.0
E,200,1_dia,10.0
E,500,1_dia,11.0
E,1000,1_dia,12.0
E,10000,1_dia,13.0
F,2,1_dia,67.87724
F,5,1_dia,86.44159
F,10,1_dia,98.7328
F,20,1_dia,110.52282
F,25,1_dia,114.26278
F,50,1_dia,125.7838
F,100,1_dia,137.21976
F,200,1_dia,148.61399
F,500,1_dia,163.64651
F,1000,1_dia,175.00773
F,10000,1_dia,212.72903
G,2,1_dia,67.87724
G,5,1_dia,86.44159
G,10,1_dia,98.7328
G,20,1_dia,110.52282
G,25,1_dia,114.26278
G,50,1_dia,125.7838
G,100,1_dia,137.21976
G,200,1_dia,148.61399
G,500,1_dia,163.64651
G,1000,1_dia,175.00773
G,10000,1_dia,212.72903
H,2,1_dia,67.87724
H,5,1_dia,86.44159
H,10,1_dia,98.7328
H,20,1_dia,110.52282
H,25,1_dia,114.26278
H,50,1_dia,125.7838
H,100,1_dia,137.21976
H,200,1_dia,148.61399
H,500,1_dia,163.64651
H,1000,1_dia,175.00773
H,10000,1_dia,212.72903
