Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;1.596;2.394;3.9899999999999984;14.742057627287835;15.245813858527384;16.7854026355416;16.472107712336822;17.829272236431763;19.62450451807382;25.137;25.625362775902715
10 min;3.093122296037354;4.609470353168781;7.631869073702104;28.057693479359713;28.968145095056492;31.68068498154959;32.94553447211321;35.45524105113072;38.71939406183016;49.30231874946084;49.26755529746589
15 min;4.281455115246144;6.367988102602436;10.522583182360167;38.626908254620425;39.860172157630295;43.50373571694588;46.02122889954174;49.445759573429754;53.875860560306705;68.48341132461901;68.03341922574259
20 min;5.124590668358288;7.615676301867563;12.573577482522017;46.12588547838652;47.58818834423202;51.892323711930665;55.298581738063575;59.37219043686259;64.62954467796587;82.0926130871513;81.34801157481988
25 min;5.778577411283498;8.583458455771218;14.164452256062273;51.94254410669231;53.5825033941594;58.39901806295388;62.49465565931814;67.07172838812872;72.97075010406306;92.64873007407986;91.67561174730577
30 min;6.31292348756708;9.374194051301219;15.464291591180082;56.695100253647226;58.48021540680584;63.71537444732696;68.3742761654921;73.36270895916162;79.78601117644241;101.27370566230948;100.11387550309658
1 h;8.344391859888015;12.3804;20.405999999999995;74.76329225267403;77.10025865598138;83.92701317770805;90.72732343144247;97.27965834489349;105.69616179257811;134.06399999999996;132.19433178045057
2 h;11.497222038507426;17.139348409407503;28.387308460918536;104.39004077524746;107.78689614930752;117.92171935465049;127.96529510987007;137.78700444403756;150.5828778541618;191.84767870147874;192.0764918352076
3 h;13.341509464141765;19.923154771777483;33.05607461724437;121.72057767924883;125.73742835612717;137.80734769119567;149.74811214466666;161.48228291577027;176.8399235307063;225.64896389556358;227.10530992942284
4 h;14.650052217126834;21.898296818815005;36.368616921837074;134.01678929782088;138.47353364263367;151.91642553159292;165.20326678829767;178.29435054318168;195.4695939157455;249.63135740295752;251.95865188996467
6 h;16.494339642761176;24.682103181184985;41.037383078162904;151.34732620182223;156.4240658494533;171.8020538681381;186.98608382309425;201.98962901491436;221.72663959228998;283.43264259704233;286.9874699841799
8 h;17.802882395746245;26.657245228222507;44.349925382755615;163.64353782039427;169.16017113595979;185.91113170853535;202.44123846672528;218.80169664232574;240.3563099773292;307.41503610443624;311.84081194472174
10 h;18.817867008652577;28.18928442333031;46.919332810287514;173.18122052997336;179.03906188268542;196.85498270433408;214.42918774663104;231.84214940096626;254.8066049647848;326.0172257043869;331.1185616488898
12 h;19.647169821380587;29.441051590592487;49.018691539081445;180.97407472439568;187.11070334277946;205.79676004508053;224.22405550152186;242.49697511405844;266.61335565387367;341.21632129852117;346.869630038937
18 h;21.491457247014925;32.224857952962466;53.687457695407275;198.30461162839703;205.0612355495991;225.68238838162569;246.00687253631847;266.19225358579115;292.87040133041813;375.017606492606;381.8984481331521
24 h;22.799999999999997;34.199999999999996;56.999999999999986;210.6008232469691;217.7973408361056;239.79146622202296;261.4620271799495;283.00432121320256;311.50007171545735;398.99999999999994;406.751790093694
