Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;10.494515467205105;13.707217725286554;15.762920187239288;17.690469152745408;18.294976630232874;20.14248316264994;19.609652038496208;21.2253240909902;23.362505378659307;24.988710456863274;30.50638425702705
10 min;18.831764519446736;24.45907423222669;28.00236465568439;31.23971265134486;32.25889820543327;35.30375269340807;35.79305367926246;39.184146572366295;42.802867716181595;45.61132716695792;54.690001034809214
15 min;25.449411385651;32.99330285766277;37.717358273262526;41.99435224722418;43.34268630784112;47.33792933479358;48.63854221888414;53.4388659132313;58.2335513978919;61.98041893683807;73.88561757213043
20 min;30.144706559399495;39.04843443038446;44.610255940341524;49.624890474915986;51.206759117446396;55.87631354397452;57.75256138067143;63.55275024062097;69.181795703338;73.5944743767362;87.50512424981252
25 min;33.78666043789264;43.745159364602905;49.956802741707634;55.54359574582364;57.30660788304151;62.49919886555172;64.82194385965039;71.3976883946074;77.6739137354142;82.60303564693274;98.06923434991262
30 min;36.76235342560376;47.58266305582053;54.32524955791966;60.37953007079531;62.290547219854254;67.91049018536003;70.59804992029312;77.80746958148598;84.61247938504832;89.96356614661634;106.70074078713374
1 h;48.07529546555653;62.1720232539783;70.9331408425768;78.76470789436644;81.23840813186739;88.48305103592648;92.5575576217021;102.17607324974064;110.99140737220473;117.94671335639462;139.51586400213705
2 h;64.83866320635536;84.20255024877984;96.39042013153788;107.5187304914687;111.02249746362511;121.48406580154291;129.3963473678954;141.61549024279566;154.72320764575443;164.89062897211923;197.80116645543393
3 h;74.6446047205214;97.08958241186389;111.28197388596546;124.3387554556623;128.4450728408324;140.7884219251737;150.94565794136955;164.68607023403757;180.30467089480823;192.35105924433643;231.8958827338034
4 h;81.60203094715419;106.23307724358139;121.84769942049897;136.27275308857097;140.80658679538283;154.48508056715934;166.23513711408873;181.05490723585064;198.45500791930414;211.83454458784382;256.0864689087308
6 h;91.40797246132023;119.12010940666543;136.73925317492655;153.09277805276454;158.22916217259012;173.78943669079013;187.78444768756285;204.12548722709255;224.03647116835793;239.29497486006102;290.18118518710025
8 h;98.36539868795302;128.26360423838292;147.30497870946004;165.02677568567321;170.59067612714054;187.48609533277576;203.07392686028203;220.49432422890564;242.18680819285385;258.77846020356844;314.37177136202763
10 h;103.76199772864466;135.355849823184;155.50039213197078;174.28350340070654;180.17901126366831;198.1100491456204;214.93336826123016;233.19098060494815;256.26530334091234;273.89102552429176;333.13544774075126
12 h;108.17134020211907;141.15063640146698;162.1965324638876;181.84680064986682;188.01325150434786;206.79045145640657;224.62323743375615;243.56490422014758;267.76827144190764;286.23889047578564;348.46648764039713
18 h;117.97728171628509;154.037668564551;177.08808621831517;198.66682561406037;205.43582688155516;226.09480758003733;246.17254800723026;266.6354842113895;293.34973469096144;313.69932074800283;382.5612039187666
24 h;124.9347079429179;163.18116339626852;187.6538117528487;210.6008232469691;217.7973408361056;239.791466222023;261.4620271799495;283.00432121320256;311.50007171545735;333.18280609151026;406.751790093694
