Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.92;36.47999999999999
10 min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.45609505448688;58.97865783309298
15 min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.75651072275318;76.83684721546946
20 min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.32183969311029;89.50743422535822
25 min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.29260577724006;99.33550504856248
30 min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.62225536137659;107.3656236077347
1 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.488;137.89439999999996
2 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;166.95552290108682;187.3834852355522
3 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;191.79743129673955;216.33274429334327
4 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;209.42304580217365;236.8725704711044
6 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.26495419782634;265.8218295288955
8 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;251.89056870326044;286.3616557066566
10 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;265.5620574453928;302.29358263425627
12 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;276.73247709891314;315.3109147644477
18 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;301.57438549456583;344.2601738222388
24 h;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;319.2;364.79999999999995
