Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;0.43091999999999997;0.57456;0.7182;0.8618399999999999;1.00548;1.14912;1.14912;1.2767999999999997;1.4044799999999995;1.5321599999999993;1.65984
10 min;0.6722495923765444;0.8922119136506834;1.1102067405721017;1.3261783068970185;1.5436673186693108;1.7560981789503507;1.825141946805953;2.047806303876032;2.2375217205664546;2.4335225957412705;2.5935747652852896
15 min;0.863803666233028;1.1443464220169701;1.4213599953234903;1.6947443557509216;1.970850625837669;2.2378838637266947;2.361730753225606;2.6597884359555715;2.898744133016973;3.1489743376341415;3.334721743699565
20 min;0.9997134445385735;1.3232387026421981;1.642126742910356;1.9562461290215576;2.273942005750476;2.5797162470870036;2.7424465701931497;3.093996668771342;3.3678889007452644;3.6565954269241994;3.8605738934355065
25 min;1.1051332586095723;1.4619983356676538;1.813366735895592;2.1590826626479402;2.5090379445069804;2.844862042677046;3.037752700031559;3.430794739831604;3.7317858535834287;4.050336933375413;4.268456508984856
30 min;1.191267518395057;1.5753732110084848;1.953279997661745;2.3248121778754607;2.701125312918834;3.0615019318633476;3.2790353766128026;3.7059788008508816;4.0291113131957825;4.372047168817071;4.601720871849782
1 h;1.5187313705570862;2.0063999999999997;2.4852;2.95488;3.4314;3.88512;4.196339999999999;4.752169165746192;5.159478493374593;5.59512;5.86872
2 h;1.9334062188560348;2.563351120014253;3.1863616778750865;3.8022413468788283;4.4234691825253885;5.026869796029219;5.5188502711409875;6.202089603090704;6.769201911061115;7.358467028187984;7.8210325867642485
3 h;2.175975455103154;2.8891466399572394;3.5965149663747393;4.297915959363515;5.003792452423833;5.694750611912341;6.292469186577035;7.050238687966463;7.71082974694043;8.389958915436047;8.963062239707252
4 h;2.3480810671549834;3.120302240028506;3.887523355750173;4.6496026937576564;5.415538365050778;6.168619592058438;6.841360542281976;7.652010040435216;8.378925328747638;9.121814056375968;9.773345173528497
6 h;2.5906503034021027;3.446097759971493;4.297676644249826;5.145277306242344;5.995861634949222;6.8365004079415606;7.614979457718023;8.500159125310974;9.320553164626954;10.15330594362403;10.915374826471501
8 h;2.762755915453932;3.6772533600427595;4.58868503362526;5.496964040636485;6.407607547576166;7.310369388087658;8.163870813422964;9.101930477779728;9.988648746434162;10.885161084563952;11.725657760292744
10 h;2.8962513993645187;3.856551573054331;4.814408676791613;5.7697534647183755;6.726982489503028;7.677930724761379;8.589624025480353;9.568700601912298;10.506863939585557;11.452832033973802;12.35416203197438
12 h;3.0053251517010513;4.003048879985746;4.998838322124913;5.992638653121172;6.987930817474611;7.978250203970779;8.937489728859012;9.950079562655485;10.930276582313475;11.916652971812015;12.86768741323575
18 h;3.24789438794817;4.328844399928732;5.408991610624565;6.488313265605858;7.568254087373055;8.6461310198539;9.711108644295058;10.798228647531243;11.871904418192791;12.948144859060076;14.009717066178753
24 h;3.42;4.56;5.699999999999999;6.84;7.9799999999999995;9.12;10.26;11.399999999999999;12.54;13.68;14.819999999999999
