Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;10.755827450399998;13.697534351400002;15.645199487999996;17.5134460572;18.106080118799994;19.931700948;19.3973852736;21.008073626399998;23.133070653599994;24.739092712799994;30.071375680800003
10 min;16.33666037449587;20.71515060210462;23.535805748978106;26.23448825928746;27.06443611010142;29.66607373584553;29.91267202875153;32.70383276979114;35.77371675066118;38.15010921157637;45.61980197252931
15 min;20.76641667414998;26.28534598654179;29.798932287266407;33.1567688865121;34.175083288889795;37.392680098483794;38.25912467835278;41.98727906702419;45.80716201622186;48.79503186527582;57.96128222328484
20 min;23.909378786689807;30.237462506833722;34.242691285344904;38.06820515343141;39.22016775105651;42.87479455660363;44.18102707597513;48.57398903756588;52.92600472329396;56.34772468363846;66.71770181318686
25 min;26.347249598245853;33.30296223724641;37.68953854824452;41.877811088599564;43.13343928019122;47.127052886329324;48.77441143350431;53.68303821041534;58.44780811328305;62.2060483640522;73.50970851501415
30 min;28.339135086343916;35.80765789127089;40.5058178236332;44.990485780656044;46.33081492984489;50.60140091924189;52.527479725576384;57.85743533479893;62.959449988854644;66.9926473373379;79.05918206394242
1 h;35.91185349853785;45.32996979599999;51.21270336;56.82420267479999;58.486546570799995;63.81012173999999;66.79583477279999;73.72759160257368;80.11173796148742;85.19026280940001;100.15708190459998
2 h;44.9562459215816;56.93605006287899;64.5918070343161;71.91087178372294;74.1405508550032;81.16760508855138;86.3455457274919;94.59850537392407;103.32791114104344;110.12362908504984;131.20510296758783
3 h;50.24687633086875;63.725171799363;72.41808097705166;80.73600747323113;83.2975563473904;91.32108195434583;97.78139353592427;106.80720728594882;116.90850186133196;124.7087133730505;149.36703101103637
4 h;54.00063834462535;68.542130329758;77.9709107086322;86.99754089264589;89.7945551392064;98.52508843710277;105.8952566821838;115.46941914527446;126.54408432059945;135.05699536069966;162.25312403057572
6 h;59.2912687539125;75.331252066242;85.79718465136776;95.82267658215407;98.9515606315936;108.67856530289721;117.33110449061617;127.67812105729921;140.12467504088798;149.64207964870033;180.41505207402423
8 h;63.0450307676691;80.148210596637;91.35001438294832;102.08421000156883;105.44855942340959;115.88257178565414;125.4449676368757;136.34033291662485;149.76025750015546;159.9903616363495;193.30114509356358
10 h;65.95667478983327;83.88453390606315;95.65712374012142;106.94103264600042;110.48802319998174;121.47043333209243;131.7385688401183;143.0592664255941;157.23419590242503;168.01711274059826;203.29637536439398
12 h;68.33566117695625;86.93733233312099;99.17628832568388;110.90934569107702;114.6055649157968;126.0360486514486;136.8808154453081;148.5490348286496;163.340848220444;174.57544592435016;211.4630731370121
18 h;73.6262915862434;93.726454069605;107.00256226841944;119.73448138058521;123.76257040818399;136.18952551724303;148.31666325374044;160.75773674067435;176.92143894073251;189.1605302123508;229.6250011804606
24 h;77.3800536;98.54341260000001;112.55539199999998;125.99601479999998;130.2595692;143.393532;156.4305264;169.4199486;186.5570214;199.5088122;242.51109419999997
