Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;11.9165282544;15.175685540399996;17.333530367999998;19.403386279199992;20.059973656799997;22.082603927999997;21.430982116799996;23.210532958199998;25.5583119318;27.332707271399997;33.2240199054
10 min;17.571215016963666;22.28074872257757;25.324017720889223;28.236236714647553;29.133921338311765;31.94422341895462;32.11978845536987;35.11373780000092;38.4209402616459;40.96502767279645;49.04145011221113
15 min;22.059592406095984;27.92035464140025;31.666424341940665;35.24726452940071;36.33631880327806;39.77183117195417;40.60397134671372;44.56184301138981;48.63058273781359;51.7856091161609;61.59645078252991
20 min;25.244146843531922;31.92171871957744;36.166433453918884;40.221667927947195;41.446501129472736;45.325607256977534;46.62359490601301;51.26538034074676;55.874439355315985;59.462933829216;70.50436552104617
25 min;27.714279168659655;35.02541782357783;39.656911694829894;44.08011496484828;45.41026648478982;49.6334506629088;51.292777685283596;56.46504785319074;61.4932110676595;65.41792951755735;77.41388098934105
30 min;29.73252423266424;37.56132463840012;42.50884007497033;47.23269574270035;48.648898594439025;53.15321500997709;55.10777779735686;60.71348555213565;66.08408183148367;70.28351527258044;83.05936619136494
1 h;37.4054560592325;47.202294635399994;53.35125580799999;59.218126956;60.961478385599996;66.534598848;69.611584248;76.86512809288149;83.53758092515375;88.781421429;104.52228160019999
2 h;46.124087353268166;58.40001281881473;66.26393201477113;73.78267090450485;76.07568941862377;83.29786204588027;88.54716815699479;97.05173168943453;106.0065630506657;112.93154059651424;134.61823387420355
3 h;51.224159717893;64.95025804975577;73.81736337968655;82.30238295448544;84.91693610092865;93.10374240635922;99.62377467301565;108.86013781034089;119.15007502346413;127.0584546974573;152.22323737798928
4 h;54.842718647303826;69.59773100222947;79.17660822154227;88.3472148530097;91.18990045164755;100.06112524376051;107.48275206598956;117.23833528598757;128.47554517617766;137.08165976402847;164.71418614820715
6 h;59.94279101192866;76.14797623317051;86.73003958645769;96.86692690299029;100.03114713395243;109.86700560423947;118.55935858201043;129.04674140689391;141.61905714897608;151.20857386497153;182.31918965199282
8 h;63.56134994133949;80.7954491856442;92.08928442831342;102.91175880151455;106.30411148467132;116.82438844164076;126.41833597498433;137.4249388825406;150.94452730168962;161.2317789315427;194.81013842221068
10 h;66.36812230385374;84.40030926751649;96.24623767945663;107.60049468775998;111.16980064825822;122.2209538270298;132.51423242838683;143.9235737206253;158.17792391141387;169.00638078644334;204.49887100160169
12 h;68.66142230596432;87.34569441658525;99.64271579322883;111.43147085149513;115.1453581669762;126.63026880211973;137.49494249100522;149.23334500344697;164.08803927448804;175.35869303248575;212.4151419259964
18 h;73.76149467058916;93.89593964752629;107.19614715814426;119.9511829014757;123.98660484928106;136.43614916259867;148.57154900702608;161.0417511243533;177.23155124728646;189.4856071334288;230.02014542978208
24 h;77.3800536;98.54341259999998;112.55539199999998;125.99601479999998;130.2595692;143.393532;156.4305264;169.4199486;186.5570214;199.5088122;242.51109419999997
