Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;12.922468951199999;16.456749904199995;18.796750464;21.041334471600003;21.7533480564;23.946719844;23.308148433599996;25.243572341399997;27.796996188600005;29.726813017799998;36.1341530358
10 min;18.701093437334194;23.71484521645524;26.962029727733675;30.0418972570877;31.029581195779862;33.99920938961826;34.20517827227188;37.38821418082172;40.91069327503149;43.62469810234054;52.22058715769295
15 min;23.2878457320081;29.475919570452564;33.44317649362061;37.18604585313364;38.3925416615575;41.978319228159734;42.85463745370684;47.027958718405564;51.319620234583255;54.65607009330299;64.98910824757498
20 min;26.542198275711435;33.563466874928956;38.04162330492336;42.254899949120876;43.61664524980111;47.63958775353839;48.991526407018455;53.867466313564805;58.70487144323779;62.48295307998903;74.04851813470546
25 min;29.0664702181423;36.73401488270781;41.6084557573543;46.186608638621344;47.66877480093737;52.030808773778006;53.75166729237873;59.17260055782729;64.43331732101474;68.55395517784353;81.07554236946794
30 min;31.128950570385342;39.32454122892628;44.5227700708103;49.39904854516682;50.97960571557875;55.61869759207987;57.64098558845342;63.50721085114864;69.11379840278956;73.5143250709515;86.81703922458749
1 h;38.97005540876258;49.1731628874;55.602363647999994;61.61205123719999;63.5666697696;69.259075956;72.4273337232;79.98646298389173;86.90797657099586;92.3725800486;108.64497020159999
2 h;47.34744086942797;59.94102624611551;68.02406357314486;75.65447002528674;78.11267738032964;85.42811900320913;90.74879058649765;99.49229004399123;108.6418609404603;115.73945210797864;137.84174639711838
3 h;52.24789721800384;66.23982252385345;75.29029222456539;83.86875843573972;86.62154636781104;94.8864028583726;101.46615581010704;110.90246741970145;121.35536829160667;129.4081960218641;154.92076561344476
4 h;55.72482633009335;70.70888960483103;80.44576349828972;89.6968888133735;92.65868499105929;101.59716205041826;109.07024744979529;118.99811710409075;130.37574530992475;139.1063241673573;167.03852259263678
6 h;60.62528267866922;77.00768588256896;87.71199214971026;97.91117722382647;101.16755397854068;111.05544590558173;119.78761267340468;130.40829447980096;143.0892526610711;152.77506808124272;184.11754180896315
8 h;64.10221179075873;81.47675296354655;92.86746342343457;103.73930760146024;107.20469260178893;117.76620509762739;127.39170431309294;138.50394416419027;152.10962967938917;162.47319622673592;196.2352987881552
10 h;66.79912753224784;84.94323070062526;96.86635761559896;108.25995672951953;111.88746112012822;122.97147432196718;133.28989601665535;144.78341790885048;159.1063776689531;169.99564883228842;205.63456132563113
12 h;69.00266813933462;87.77554924128448;100.13369207485512;111.95359601191322;115.71356158927034;127.22448895279086;138.10906953670235;149.91412153990046;164.82313703053555;176.14194014062136;213.31431800448155
18 h;73.90312448791049;94.07434551902242;107.39992072627564;120.1678844223662;124.22243057675172;136.68277280795434;148.8264347603117;161.32429891561068;177.53664438168192;189.8106840545068;230.39333722080792
24 h;77.3800536;98.5434126;112.55539199999998;125.99601479999998;130.2595692;143.393532;156.4305264;169.4199486;186.5570214;199.50881220000002;242.51109419999997
